Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
53033021500,4518.553001,3421,75710.08,8062,178419.95,460,10180.25,423,9361.4,37,818.85,9,199.18,5,110.65
53033021600,5399.645,3520,65189.47,7975,147694.89,618,11445.2,584,10815.53,34,629.67,21,388.91,4,74.08
53033021700,8962.848999,6037,67355.82,12822,143057.19,1250,13946.46,1127,12574.13,123,1372.33,37,412.82,9,100.41
53033021802,6016.531999,3952,65685.68,8791,146114.07,792,13163.73,731,12149.86,61,1013.87,13,216.07,3,49.86
53033021803,6423.669,4185,65149.68,8607,133988.85,707,11006.17,652,10149.96,55,856.21,17,264.65,5,77.84
53033021804,6643.645001,3842,57829.7,8174,123034.87,811,12207.15,739,11123.41,72,1083.74,22,331.14,5,75.26
53033021903,6816.341001,3980,58389.1,8226,120680.58,796,11677.82,738,10826.92,58,850.9,24,352.1,5,73.35
53033021904,5977.091,3404,56950.78,6875,115022.51,654,10941.78,607,10155.44,47,786.34,24,401.53,2,33.46
53033021905,5488.905,3208,58445.17,6894,125598.82,607,11058.67,558,10165.96,49,892.71,25,455.46,5,91.09
53033021906,4488.052,2918,65017.07,5926,132039.47,537,11965.1,482,10739.63,55,1225.48,13,289.66,3,66.84
53033022001,5408.441001,3434,63493.34,7603,140576.55,620,11463.56,571,10557.57,49,905.99,26,480.73,6,110.94
53033022003,5380.353,3070,57059.45,6214,115494.28,615,11430.48,573,10649.86,42,780.62,21,390.31,2,37.17
53033022005,5217.71,3184,61022.94,6516,124882.37,620,11882.61,581,11135.15,39,747.45,16,306.65,5,95.83
53033022006,3915.599,2594,66247.85,5681,145086.36,550,14046.38,478,12207.58,72,1838.8,70,1787.72,42,1072.63
53033022101,5106.101001,3333,65274.85,7089,138833.92,521,10203.48,477,9341.77,44,861.71,17,332.94,3,58.75
53033022102,6765.453,4362,64474.62,9169,135526.77,771,11396.13,719,10627.52,52,768.61,20,295.62,3,44.34
53033022201,4568.369001,2705,59211.5,5432,118904.58,469,10266.25,432,9456.33,37,809.92,13,284.57,2,43.78
53033022202,7682.721,4726,61514.66,9568,124539.21,896,11662.53,823,10712.35,73,950.18,21,273.34,7,91.11
53033022203,5576.89,3449,61844.5,7239,129803.53,542,9718.68,495,8875.91,47,842.76,14,251.04,3,53.79
53033022300,3079.359,1965,63811.98,4021,130579.12,297,9644.86,255,8280.94,42,1363.92,3,97.42,3,97.42
53033022400,8604.282001,7221,83923.33,16193,188196.99,1003,11656.99,922,10715.59,81,941.39,15,174.33,4,46.49
53033022500,8314.902001,6570,79014.76,14967,180002.12,986,11858.23,905,10884.07,81,974.15,19,228.51,3,36.08
53033022603,6230.505,4179,67073.21,8730,140117.05,750,12037.55,702,11267.14,48,770.4,15,240.75,7,112.35
53033022604,4890.08,3622,74068.32,8269,169097.44,541,11063.21,473,9672.64,68,1390.57,11,224.95,5,102.25
53033022605,6042.386999,3616,59843.9,7927,131189.88,663,10972.48,607,10045.7,56,926.79,17,281.35,2,33.1
53033022606,5776.084,3702,64091.87,7829,135541.66,524,9071.89,482,8344.75,42,727.14,20,346.26,9,155.81
53033022701,3159.155,2279,72139.54,5477,173369.14,295,9337.94,260,8230.05,35,1107.89,9,284.89,0,0
53033022702,4146.854,2689,64844.34,6389,154068.6,452,10899.83,411,9911.13,41,988.7,6,144.69,0,0
53033022703,2508.951001,1881,74971.57,4054,161581.47,311,12395.62,284,11319.47,27,1076.15,12,478.29,0,0
53033022801,8723.988998,5258,60270.59,10593,121423.81,802,9193.04,755,8654.3,47,538.74,24,275.1,4,45.85
53033022802,5054.465,3219,63686.27,6415,126917.49,447,8843.67,429,8487.55,18,356.12,11,217.63,1,19.78
